Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
1,2009-01-08,1100,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats),2009,Elderly,Daytime
2,2009-01-08,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Car,2009,Adult,Daytime
2,2009-01-08,830,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car,2009,Adult,Daytime
2,2009-01-08,830,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car,2009,Child,Daytime
2,2009-01-08,1656,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc,2009,Adult,Noon
1,2009-01-08,1710,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car,2009,Child,Noon
2,2009-01-09,819,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,2009,Adult,Daytime
2,2009-01-09,2103,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,21,Car,2009,Adult,Night
2,2009-01-09,1539,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc,2009,Adult,Noon
1,2009-01-09,147,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under,2009,Adult,Midnight
3,2009-01-09,752,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car,2009,Adult,Daytime
2,2009-01-09,750,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Motorcycle over 500cc,2009,Adult,Daytime
2,2009-01-09,1550,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Bus or coach (17 or more passenger seats),2009,Adult,Noon
2,2009-01-09,1550,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Bus or coach (17 or more passenger seats),2009,Elderly,Noon
1,2009-01-10,740,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,17,M/cycle 50cc and under,2009,Child,Daytime
3,2009-01-10,1525,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,2009,Adult,Noon
3,2009-01-10,1525,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car,2009,Adult,Noon
3,2009-01-10,1525,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car,2009,Adult,Noon
2,2009-01-10,1122,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car,2009,Adult,Daytime
1,2009-01-11,2332,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car,2009,Adult,Night
1,2009-01-11,210,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,46,Car,2009,Adult,Midnight
1,2009-01-11,210,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,44,Car,2009,Adult,Midnight
2,2009-01-11,1335,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,2009,Adult,Noon
2,2009-01-11,1335,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,13,Car,2009,Child,Noon
2,2009-01-11,1840,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car,2009,Adult,Night
2,2009-01-11,1840,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,18,Car,2009,Adult,Night
1,2009-01-11,158,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,20,Taxi/Private hire car,2009,Adult,Midnight
1,2009-01-12,735,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car,2009,Adult,Daytime
