Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
1,2010-01-03,1155,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,Car,2010,Adult,Daytime
1,2010-01-03,1015,Snow,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,2010,Adult,Daytime
1,2010-01-03,1015,Snow,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car,2010,Adult,Daytime
2,2010-01-03,2243,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,36,Car,2010,Adult,Night
2,2010-01-03,2243,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,9,Car,2010,Child,Night
2,2010-01-03,2243,Wet / Damp,Darkness: street lights present and lit,Other,Passenger,Slight,Female,17,Car,2010,Child,Night
2,2010-01-04,2045,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,39,Car,2010,Adult,Night
2,2010-01-04,2045,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,57,Car,2010,Adult,Night
2,2010-01-04,1330,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car,2010,Adult,Noon
2,2010-01-04,1330,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car,2010,Adult,Noon
3,2010-01-04,815,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Pedal cycle,2010,Adult,Daytime
1,2010-01-04,920,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,17,Taxi/Private hire car,2010,Child,Daytime
1,2010-01-04,1000,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,Car,2010,Adult,Daytime
2,2010-01-05,926,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,30,Car,2010,Adult,Daytime
2,2010-01-05,926,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Female,46,Car,2010,Adult,Daytime
2,2010-01-05,2015,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,30,Car,2010,Adult,Night
2,2010-01-05,2015,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,33,Car,2010,Adult,Night
2,2010-01-06,1600,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car,2010,Adult,Noon
2,2010-01-06,1600,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car,2010,Child,Noon
2,2010-01-06,1600,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car,2010,Adult,Noon
2,2010-01-06,1600,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car,2010,Adult,Noon
1,2010-01-06,1445,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Taxi/Private hire car,2010,Child,Noon
3,2010-01-07,1840,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,59,Car,2010,Adult,Night
3,2010-01-07,1840,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,23,Car,2010,Adult,Night
2,2010-01-08,1600,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,6,Car,2010,Child,Noon
1,2010-01-08,1330,Snow,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,82,Bus or coach (17 or more passenger seats),2010,Elderly,Noon
2,2010-01-08,835,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats),2010,Adult,Daytime
2,2010-01-09,420,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,40,Bus or coach (17 or more passenger seats),2010,Adult,Midnight
1,2010-01-09,100,Frost/ Ice,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,30,Taxi/Private hire car,2010,Adult,Midnight
2,2010-01-09,1600,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Car,2010,Adult,Noon
2,2010-01-09,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car,2010,Adult,Noon
2,2010-01-09,2358,Frost/ Ice,Darkness: street lights present and lit,Snowing without high winds,Pedestrian,Slight,Male,24,Car,2010,Adult,Night
2,2010-01-10,4,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,22,Car,2010,Adult,Midnight
2,2010-01-10,4,Snow,Darkness: street lights present and lit,Other,Driver,Slight,Male,40,Car,2010,Adult,Midnight
1,2010-01-10,1305,Snow,Daylight: street lights present,Snowing without high winds,Pedestrian,Slight,Male,26,Car,2010,Adult,Noon
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,53,Car,2010,Adult,Night
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,23,Car,2010,Adult,Night
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,40,Car,2010,Adult,Night
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,22,Car,2010,Adult,Night
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,15,Car,2010,Child,Night
2,2010-01-10,1905,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car,2010,Adult,Night
1,2010-01-10,449,Frost/ Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,24,Car,2010,Adult,Midnight
2,2010-01-11,1940,Snow,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,61,Car,2010,Adult,Night
1,2010-01-11,1555,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,7,Car,2010,Child,Noon
1,2010-01-11,1555,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car,2010,Adult,Noon
1,2010-01-11,1555,Snow,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,5,Car,2010,Child,Noon
2,2010-01-11,825,Snow,Daylight: street lights present,Snowing without high winds,Driver,Slight,Male,26,Car,2010,Adult,Daytime
2,2010-01-11,950,Frost/ Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,51,Car,2010,Adult,Daytime
2,2010-01-11,1320,Frost/ Ice,Daylight: street lights present,Other,Driver,Serious,Male,19,Pedal cycle,2010,Adult,Noon
2,2010-01-11,46,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,82,Car,2010,Elderly,Midnight
2,2010-01-11,46,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,56,Car,2010,Adult,Midnight
2,2010-01-11,46,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car,2010,Adult,Midnight
1,2010-01-12,630,Frost/ Ice,Darkness: street lighting unknown,Fine with high winds,Pedestrian,Serious,Male,93,Car,2010,Elderly,Daytime
2,2010-01-12,1420,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,35,Pedal cycle,2010,Adult,Noon
2,2010-01-12,1750,Wet / Damp,Darkness: street lights present and lit,Other,Driver,Slight,Male,46,Car,2010,Adult,Noon
1,2010-01-12,2005,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,28,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Night
2,2010-01-13,1350,Frost/ Ice,Daylight: street lights present,Other,Driver,Slight,Male,28,Car,2010,Adult,Noon
2,2010-01-13,1350,Frost/ Ice,Daylight: street lights present,Other,Passenger,Slight,Male,25,Car,2010,Adult,Noon
1,2010-01-13,845,Frost/ Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Daytime
2,2010-01-13,715,Frost/ Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,32,Car,2010,Adult,Daytime
1,2010-01-13,139,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,39,Goods vehicle 7.5 tonnes mgw and over,2010,Adult,Midnight
2,2010-01-13,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,2010,Adult,Daytime
2,2010-01-14,1900,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,61,Car,2010,Adult,Night
2,2010-01-14,1900,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,Pedal cycle,2010,Child,Night
2,2010-01-15,1615,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Car,2010,Child,Noon
1,2010-01-15,1800,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,17,Car,2010,Child,Noon
1,2010-01-15,1339,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,62,Bus or coach (17 or more passenger seats),2010,Adult,Noon
1,2010-01-15,905,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,44,Car,2010,Adult,Daytime
1,2010-01-16,100,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,25,Car,2010,Adult,Midnight
1,2010-01-16,1325,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Taxi/Private hire car,2010,Adult,Noon
1,2010-01-16,2100,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,36,Car,2010,Adult,Night
1,2010-01-16,1210,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,14,Bus or coach (17 or more passenger seats),2010,Child,Noon
1,2010-01-16,927,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,23,Car,2010,Adult,Daytime
1,2010-01-17,1445,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Car,2010,Child,Noon
3,2010-01-18,1635,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Taxi/Private hire car,2010,Adult,Noon
3,2010-01-18,1635,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Car,2010,Adult,Noon
2,2010-01-18,2056,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,22,Car,2010,Adult,Night
2,2010-01-18,1100,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,48,Car,2010,Adult,Daytime
2,2010-01-18,1250,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,67,Car,2010,Elderly,Noon
2,2010-01-18,745,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,2010,Adult,Daytime
2,2010-01-18,741,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Car,2010,Adult,Daytime
2,2010-01-19,717,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Pedal cycle,2010,Adult,Daytime
2,2010-01-19,1702,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,58,Car,2010,Adult,Noon
3,2010-01-20,2000,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Taxi/Private hire car,2010,Adult,Night
2,2010-01-20,1945,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Taxi/Private hire car,2010,Adult,Night
1,2010-01-20,1500,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,30,Car,2010,Adult,Noon
2,2010-01-20,2013,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Pedal cycle,2010,Adult,Night
1,2010-01-21,815,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Taxi/Private hire car,2010,Child,Daytime
2,2010-01-21,1045,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,2010,Adult,Daytime
2,2010-01-21,835,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,M/cycle 50cc and under,2010,Adult,Daytime
1,2010-01-21,1710,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,13,Car,2010,Child,Noon
1,2010-01-21,1220,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,55,Goods vehicle 7.5 tonnes mgw and over,2010,Adult,Noon
2,2010-01-21,730,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,57,Car,2010,Adult,Daytime
2,2010-01-22,1300,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,49,Car,2010,Adult,Noon
2,2010-01-22,1500,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,32,Car,2010,Adult,Noon
2,2010-01-22,715,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,22,Car,2010,Adult,Daytime
2,2010-01-22,715,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,47,Car,2010,Adult,Daytime
2,2010-01-22,1549,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,22,Car,2010,Adult,Noon
1,2010-01-22,2035,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car,2010,Adult,Night
1,2010-01-22,2035,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,29,Car,2010,Adult,Night
2,2010-01-22,1250,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,31,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
1,2010-01-22,528,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,30,Taxi/Private hire car,2010,Adult,Midnight
5,2010-01-22,1340,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,52,Car,2010,Adult,Noon
2,2010-01-22,808,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,43,Car,2010,Adult,Daytime
2,2010-01-22,808,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,38,Car,2010,Adult,Daytime
1,2010-01-22,2049,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Night
1,2010-01-22,1439,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,28,Car,2010,Adult,Noon
4,2010-01-23,120,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Midnight
2,2010-01-23,1215,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Noon
2,2010-01-23,1135,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,2010,Adult,Daytime
1,2010-01-23,1020,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,19,Car,2010,Adult,Daytime
1,2010-01-23,1239,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,2010,Adult,Noon
2,2010-01-24,1140,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,86,Car,2010,Elderly,Daytime
2,2010-01-24,1140,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,Car,2010,Elderly,Daytime
2,2010-01-24,920,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Pedal cycle,2010,Adult,Daytime
2,2010-01-24,1310,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car,2010,Adult,Noon
2,2010-01-24,1310,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car,2010,Adult,Noon
2,2010-01-25,1735,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,37,Car,2010,Adult,Noon
2,2010-01-25,814,Wet / Damp,Daylight: street lights present,Other,Driver,Slight,Female,52,Car,2010,Adult,Daytime
2,2010-01-25,1848,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car,2010,Adult,Night
2,2010-01-26,1830,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Pedal cycle,2010,Adult,Night
2,2010-01-26,1655,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,47,Motorcycle over 125cc and up to 500cc,2010,Adult,Noon
2,2010-01-26,825,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,2010,Adult,Daytime
2,2010-01-26,825,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,Car,2010,Child,Daytime
2,2010-01-26,1900,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,45,Motorcycle over 125cc and up to 500cc,2010,Adult,Night
2,2010-01-27,1230,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,2010,Adult,Noon
2,2010-01-27,2242,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,29,Car,2010,Adult,Night
2,2010-01-27,2242,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,56,Goods vehicle 7.5 tonnes mgw and over,2010,Adult,Night
2,2010-01-27,2242,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car,2010,Adult,Night
2,2010-01-27,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Night
2,2010-01-27,2100,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car,2010,Adult,Night
1,2010-01-27,608,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Car,2010,Adult,Daytime
3,2010-01-28,853,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car,2010,Adult,Daytime
2,2010-01-28,1115,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car,2010,Adult,Daytime
2,2010-01-28,1115,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car,2010,Adult,Daytime
2,2010-01-28,2110,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,26,Car,2010,Adult,Night
2,2010-01-28,2110,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,2010,Adult,Night
2,2010-01-28,2110,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car,2010,Adult,Night
2,2010-01-28,2110,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car,2010,Adult,Night
2,2010-01-28,2110,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,28,Car,2010,Adult,Night
2,2010-01-28,1635,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Car,2010,Adult,Noon
1,2010-01-29,1055,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,72,Car,2010,Elderly,Daytime
1,2010-01-29,1055,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,77,Car,2010,Elderly,Daytime
2,2010-01-29,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,39,Car,2010,Adult,Noon
1,2010-01-29,1920,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,29,Bus or coach (17 or more passenger seats),2010,Adult,Night
1,2010-01-29,1920,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,49,Bus or coach (17 or more passenger seats),2010,Adult,Night
2,2010-01-29,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,68,Car,2010,Elderly,Daytime
2,2010-01-29,1545,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Car,2010,Adult,Noon
1,2010-01-29,1140,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,79,Car,2010,Elderly,Daytime
2,2010-01-29,1520,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car,2010,Adult,Noon
2,2010-01-29,1535,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,Car,2010,Adult,Noon
2,2010-01-30,15,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Taxi/Private hire car,2010,Adult,Midnight
1,2010-01-30,2254,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,20,Car,2010,Adult,Night
1,2010-01-30,1710,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,49,Car,2010,Adult,Noon
1,2010-01-30,1745,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,47,Taxi/Private hire car,2010,Adult,Noon
3,2010-01-30,1234,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,2010,Adult,Noon
2,2010-01-31,45,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,50,Car,2010,Adult,Midnight
2,2010-01-31,1140,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,15,Pedal cycle,2010,Child,Daytime
2,2010-01-31,1245,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car,2010,Adult,Noon
2,2010-01-31,1245,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car,2010,Adult,Noon
1,2010-01-31,745,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,Car,2010,Adult,Daytime
1,2010-01-31,533,Frost/ Ice,Darkness: street lights present and lit,Other,Driver,Slight,Female,23,Car,2010,Adult,Midnight
2,2010-02-01,1200,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,53,Car,2010,Adult,Daytime
1,2010-02-01,1525,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car,2010,Child,Noon
2,2010-02-01,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,Car,2010,Adult,Noon
2,2010-02-01,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,32,Car,2010,Adult,Noon
2,2010-02-01,1110,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,Car,2010,Adult,Daytime
2,2010-02-01,1110,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Car,2010,Adult,Daytime
1,2010-02-01,715,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,52,Car,2010,Adult,Daytime
1,2010-02-01,1709,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,62,Car,2010,Adult,Noon
2,2010-02-01,1617,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car,2010,Adult,Noon
2,2010-02-01,1617,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Car,2010,Adult,Noon
1,2010-02-02,845,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,26,Car,2010,Adult,Daytime
1,2010-02-02,1725,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,49,Car,2010,Adult,Noon
2,2010-02-02,1400,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,48,Car,2010,Adult,Noon
3,2010-02-02,2105,Frost/ Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,22,Car,2010,Adult,Night
3,2010-02-02,2105,Frost/ Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Taxi/Private hire car,2010,Adult,Night
2,2010-02-02,1555,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Bus or coach (17 or more passenger seats),2010,Adult,Noon
2,2010-02-02,1555,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Bus or coach (17 or more passenger seats),2010,Adult,Noon
1,2010-02-02,2335,Frost/ Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Pedal cycle,2010,Adult,Night
2,2010-02-02,1930,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,2010,Adult,Night
1,2010-02-02,1400,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car,2010,Adult,Noon
2,2010-02-03,1730,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Male,45,Car,2010,Adult,Noon
1,2010-02-03,1747,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver,Slight,Female,51,Car,2010,Adult,Noon
2,2010-02-03,900,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Pedal cycle,2010,Adult,Daytime
2,2010-02-03,1325,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Other Vehicle ,2010,Adult,Noon
2,2010-02-03,1325,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car,2010,Adult,Noon
2,2010-02-03,1325,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Other Vehicle ,2010,Adult,Noon
2,2010-02-03,1520,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,2010,Adult,Noon
2,2010-02-03,1520,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car,2010,Adult,Noon
2,2010-02-03,1445,Dry,Daylight: street lights present,Unknown,Driver,Slight,Female,27,Car,2010,Adult,Noon
1,2010-02-03,710,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,48,Car,2010,Adult,Daytime
1,2010-02-03,1530,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car,2010,Child,Noon
2,2010-02-03,1020,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car,2010,Adult,Daytime
2,2010-02-04,1520,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Car,2010,Adult,Noon
2,2010-02-04,1520,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,2010,Adult,Noon
2,2010-02-04,11,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under,2010,Adult,Midnight
2,2010-02-04,1825,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Driver,Slight,Male,25,Car,2010,Adult,Night
2,2010-02-04,1825,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Passenger,Slight,Female,22,Car,2010,Adult,Night
2,2010-02-04,1825,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Passenger,Slight,Male,23,Car,2010,Adult,Night
2,2010-02-04,1825,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Passenger,Slight,Male,21,Car,2010,Adult,Night
5,2010-02-04,1842,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,36,Car,2010,Adult,Night
5,2010-02-04,1842,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,52,Car,2010,Adult,Night
5,2010-02-04,1842,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,39,Car,2010,Adult,Night
5,2010-02-04,1842,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,63,Car,2010,Adult,Night
1,2010-02-05,1724,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,12,Car,2010,Child,Noon
